"region","år","fastighetstyp",Köpeskilling för småhus, medelvärde i tkr
"0584 Vadstena","2015","permanentbostad (ej tomträtt)",1704
"0584 Vadstena","2016","permanentbostad (ej tomträtt)",2232
"0584 Vadstena","2017","permanentbostad (ej tomträtt)",1931
"0586 Mjölby","2012","permanentbostad (ej tomträtt)",1409
"0586 Mjölby","2013","permanentbostad (ej tomträtt)",1470
"0586 Mjölby","2014","permanentbostad (ej tomträtt)",1587
"0586 Mjölby","2015","permanentbostad (ej tomträtt)",1816
"0586 Mjölby","2016","permanentbostad (ej tomträtt)",1991
"0586 Mjölby","2017","permanentbostad (ej tomträtt)",2105
"0604 Aneby","2012","permanentbostad (ej tomträtt)",731
"0604 Aneby","2013","permanentbostad (ej tomträtt)",698
"0604 Aneby","2014","permanentbostad (ej tomträtt)",759
"0604 Aneby","2015","permanentbostad (ej tomträtt)",864
"0604 Aneby","2016","permanentbostad (ej tomträtt)",953
"0604 Aneby","2017","permanentbostad (ej tomträtt)",977
"0617 Gnosjö","2012","permanentbostad (ej tomträtt)",882
"0617 Gnosjö","2013","permanentbostad (ej tomträtt)",904
"0617 Gnosjö","2014","permanentbostad (ej tomträtt)",929
"0617 Gnosjö","2015","permanentbostad (ej tomträtt)",1044
"0617 Gnosjö","2016","permanentbostad (ej tomträtt)",1145
"0617 Gnosjö","2017","permanentbostad (ej tomträtt)",1182
"0642 Mullsjö","2012","permanentbostad (ej tomträtt)",980
"0642 Mullsjö","2013","permanentbostad (ej tomträtt)",973
"0642 Mullsjö","2014","permanentbostad (ej tomträtt)",1089
"0642 Mullsjö","2015","permanentbostad (ej tomträtt)",1154
"0642 Mullsjö","2016","permanentbostad (ej tomträtt)",1217
"0642 Mullsjö","2017","permanentbostad (ej tomträtt)",1614
"0643 Habo","2012","permanentbostad (ej tomträtt)",1852
"0643 Habo","2013","permanentbostad (ej tomträtt)",1891
"0643 Habo","2014","permanentbostad (ej tomträtt)",2000
"0643 Habo","2015","permanentbostad (ej tomträtt)",2097
"0643 Habo","2016","permanentbostad (ej tomträtt)",2286
"0643 Habo","2017","permanentbostad (ej tomträtt)",2616
"0662 Gislaved","2012","permanentbostad (ej tomträtt)",1042
"0662 Gislaved","2013","permanentbostad (ej tomträtt)",992
"0662 Gislaved","2014","permanentbostad (ej tomträtt)",969
"0662 Gislaved","2015","permanentbostad (ej tomträtt)",1085
"0662 Gislaved","2016","permanentbostad (ej tomträtt)",1116
"0662 Gislaved","2017","permanentbostad (ej tomträtt)",1166
"0665 Vaggeryd","2012","permanentbostad (ej tomträtt)",1062
"0665 Vaggeryd","2013","permanentbostad (ej tomträtt)",1117
"0665 Vaggeryd","2014","permanentbostad (ej tomträtt)",1244
"0665 Vaggeryd","2015","permanentbostad (ej tomträtt)",1312
"0665 Vaggeryd","2016","permanentbostad (ej tomträtt)",1530
"0665 Vaggeryd","2017","permanentbostad (ej tomträtt)",1762
"0680 Jönköping","2012","permanentbostad (ej tomträtt)",2215
"0680 Jönköping","2013","permanentbostad (ej tomträtt)",2425
"0680 Jönköping","2014","permanentbostad (ej tomträtt)",2519
"0680 Jönköping","2015","permanentbostad (ej tomträtt)",2822
"0680 Jönköping","2016","permanentbostad (ej tomträtt)",3064
"0680 Jönköping","2017","permanentbostad (ej tomträtt)",3515
"0682 Nässjö","2012","permanentbostad (ej tomträtt)",907
"0682 Nässjö","2013","permanentbostad (ej tomträtt)",1014
"0682 Nässjö","2014","permanentbostad (ej tomträtt)",1064
"0682 Nässjö","2015","permanentbostad (ej tomträtt)",1143
"0682 Nässjö","2016","permanentbostad (ej tomträtt)",1172
"0682 Nässjö","2017","permanentbostad (ej tomträtt)",1338
"0683 Värnamo","2012","permanentbostad (ej tomträtt)",1404
"0683 Värnamo","2013","permanentbostad (ej tomträtt)",1438
"0683 Värnamo","2014","permanentbostad (ej tomträtt)",1444
"0683 Värnamo","2015","permanentbostad (ej tomträtt)",1642
"0683 Värnamo","2016","permanentbostad (ej tomträtt)",1794
"0683 Värnamo","2017","permanentbostad (ej tomträtt)",1919
"0684 Sävsjö","2012","permanentbostad (ej tomträtt)",556
"0684 Sävsjö","2013","permanentbostad (ej tomträtt)",667
"0684 Sävsjö","2014","permanentbostad (ej tomträtt)",726
"0684 Sävsjö","2015","permanentbostad (ej tomträtt)",778
"0684 Sävsjö","2016","permanentbostad (ej tomträtt)",870
"0684 Sävsjö","2017","permanentbostad (ej tomträtt)",1027
"0685 Vetlanda","2012","permanentbostad (ej tomträtt)",959
"0685 Vetlanda","2013","permanentbostad (ej tomträtt)",1004
"0685 Vetlanda","2014","permanentbostad (ej tomträtt)",992
"0685 Vetlanda","2015","permanentbostad (ej tomträtt)",1131
"0685 Vetlanda","2016","permanentbostad (ej tomträtt)",1238
"0685 Vetlanda","2017","permanentbostad (ej tomträtt)",1383
"0686 Eksjö","2012","permanentbostad (ej tomträtt)",1072
"0686 Eksjö","2013","permanentbostad (ej tomträtt)",1068
"0686 Eksjö","2014","permanentbostad (ej tomträtt)",1215
"0686 Eksjö","2015","permanentbostad (ej tomträtt)",1256
"0686 Eksjö","2016","permanentbostad (ej tomträtt)",1324
"0686 Eksjö","2017","permanentbostad (ej tomträtt)",1427
"0687 Tranås","2012","permanentbostad (ej tomträtt)",1242
"0687 Tranås","2013","permanentbostad (ej tomträtt)",1268
"0687 Tranås","2014","permanentbostad (ej tomträtt)",1233
"0687 Tranås","2015","permanentbostad (ej tomträtt)",1506
"0687 Tranås","2016","permanentbostad (ej tomträtt)",1439
"0687 Tranås","2017","permanentbostad (ej tomträtt)",1671
"0760 Uppvidinge","2012","permanentbostad (ej tomträtt)",552
"0760 Uppvidinge","2013","permanentbostad (ej tomträtt)",526
"0760 Uppvidinge","2014","permanentbostad (ej tomträtt)",642
"0760 Uppvidinge","2015","permanentbostad (ej tomträtt)",594
"0760 Uppvidinge","2016","permanentbostad (ej tomträtt)",608
"0760 Uppvidinge","2017","permanentbostad (ej tomträtt)",726
"0761 Lessebo","2012","permanentbostad (ej tomträtt)",697
"0761 Lessebo","2013","permanentbostad (ej tomträtt)",693
"0761 Lessebo","2014","permanentbostad (ej tomträtt)",727
"0761 Lessebo","2015","permanentbostad (ej tomträtt)",768
"0761 Lessebo","2016","permanentbostad (ej tomträtt)",815
"0761 Lessebo","2017","permanentbostad (ej tomträtt)",910
"0763 Tingsryd","2012","permanentbostad (ej tomträtt)",792
"0763 Tingsryd","2013","permanentbostad (ej tomträtt)",774
"0763 Tingsryd","2014","permanentbostad (ej tomträtt)",688
"0763 Tingsryd","2015","permanentbostad (ej tomträtt)",759
